Table,Field,Type,PK,FK,References,Description
users,id,uuid,TRUE,FALSE,,Primary key
users,email,string,FALSE,FALSE,,User email
users,name,string,FALSE,FALSE,,User name
users,userType,string,FALSE,FALSE,,Type of user
users,accountType,string,FALSE,FALSE,,Account type
users,emailVerified,boolean,FALSE,FALSE,,Email verification status
users,phone,string,FALSE,FALSE,,Phone number
users,profileImage,string,FALSE,FALSE,,Profile image URL
users,storefrontImage,string,FALSE,FALSE,,Storefront image URL
users,specialties,array,FALSE,FALSE,,Array of specialties
users,createdAt,timestamp,FALSE,FALSE,,Creation timestamp
users,updatedAt,timestamp,FALSE,FALSE,,Last update timestamp
user_profiles,id,uuid,TRUE,FALSE,,Primary key
user_profiles,userId,uuid,FALSE,TRUE,users.id,Foreign key to users
user_profiles,locationId,uuid,FALSE,TRUE,locations.id,Foreign key to locations
user_profiles,phone,string,FALSE,FALSE,,Phone number
user_profiles,profileImage,string,FALSE,FALSE,,Profile image URL
user_profiles,storefrontImage,string,FALSE,FALSE,,Storefront image URL
user_profiles,specialties,array,FALSE,FALSE,,Array of specialties
user_profiles,createdAt,timestamp,FALSE,FALSE,,Creation timestamp
user_profiles,updatedAt,timestamp,FALSE,FALSE,,Last update timestamp
user_verification,id,uuid,TRUE,FALSE,,Primary key
user_verification,userId,uuid,FALSE,TRUE,users.id,Foreign key to users
user_verification,verified,boolean,FALSE,FALSE,,Verification status
user_verification,phoneVerified,boolean,FALSE,FALSE,,Phone verification
user_verification,verificationStatus,string,FALSE,FALSE,,Verification status
user_verification,verificationDocuments,json,FALSE,FALSE,,Verification documents
user_verification,rejectedDocuments,json,FALSE,FALSE,,Rejected documents
user_verification,businessDetailsCompleted,boolean,FALSE,FALSE,,Business details completion
user_verification,createdAt,timestamp,FALSE,FALSE,,Creation timestamp
user_verification,updatedAt,timestamp,FALSE,FALSE,,Last update timestamp
user_verification,reviewedAt,timestamp,FALSE,FALSE,,Review timestamp
user_verification,reviewedBy,uuid,FALSE,TRUE,users.id,Foreign key to users (reviewer)
business_details,id,uuid,TRUE,FALSE,,Primary key
business_details,userId,uuid,FALSE,TRUE,users.id,Foreign key to users
business_details,businessName,string,FALSE,FALSE,,Business name
business_details,businessDescription,text,FALSE,FALSE,,Business description
business_details,businessLicenseNumber,string,FALSE,FALSE,,License number
business_details,specialties,array,FALSE,FALSE,,Business specialties
business_details,policies,json,FALSE,FALSE,,Business policies
business_details,createdAt,timestamp,FALSE,FALSE,,Creation timestamp
business_details,updatedAt,timestamp,FALSE,FALSE,,Last update timestamp
business_details,isActive,boolean,FALSE,FALSE,,Active status
business_details,verified,boolean,FALSE,FALSE,,Verification status
user_social,id,uuid,TRUE,FALSE,,Primary key
user_social,userId,uuid,FALSE,TRUE,users.id,Foreign key to users
user_social,facebook,string,FALSE,FALSE,,Facebook profile
user_social,instagram,string,FALSE,FALSE,,Instagram profile
user_social,telegram,string,FALSE,FALSE,,Telegram profile
user_social,whatsapp,string,FALSE,FALSE,,WhatsApp profile
user_social,website,string,FALSE,FALSE,,Website URL
user_social,linkedin,string,FALSE,FALSE,,LinkedIn profile
user_social,twitter,string,FALSE,FALSE,,Twitter profile
user_social,youtube,string,FALSE,FALSE,,YouTube channel
user_social,tiktok,string,FALSE,FALSE,,TikTok profile
user_social,createdAt,timestamp,FALSE,FALSE,,Creation timestamp
user_social,updatedAt,timestamp,FALSE,FALSE,,Last update timestamp
addresses,id,uuid,TRUE,FALSE,,Primary key
addresses,userId,uuid,FALSE,TRUE,users.id,Foreign key to users
addresses,locationId,uuid,FALSE,TRUE,locations.id,Foreign key to locations
addresses,addressLine1,string,FALSE,FALSE,,Address line 1
addresses,addressLine2,string,FALSE,FALSE,,Address line 2
addresses,postalCode,string,FALSE,FALSE,,Postal code
addresses,isDefault,boolean,FALSE,FALSE,,Default address flag
addresses,addressType,string,FALSE,FALSE,,Address type
addresses,createdAt,timestamp,FALSE,FALSE,,Creation timestamp
addresses,updatedAt,timestamp,FALSE,FALSE,,Last update timestamp
addresses,isActive,boolean,FALSE,FALSE,,Active status
products,id,uuid,TRUE,FALSE,,Primary key
products,sellerId,uuid,FALSE,TRUE,users.id,Foreign key to users (seller)
products,categoryId,uuid,FALSE,TRUE,categories.id,Foreign key to categories
products,locationId,uuid,FALSE,TRUE,locations.id,Foreign key to locations
products,name,string,FALSE,FALSE,,Product name
products,description,text,FALSE,FALSE,,Product description
products,price,decimal,FALSE,FALSE,,Product price
products,availableStock,integer,FALSE,FALSE,,Available stock
products,deliveryOptions,array,FALSE,FALSE,,Delivery options array
products,paymentTerms,array,FALSE,FALSE,,Payment terms array
products,quantity,integer,FALSE,FALSE,,Product quantity
products,quantityUnit,string,FALSE,FALSE,,Quantity unit
products,packaging,string,FALSE,FALSE,,Packaging type
products,isActive,boolean,FALSE,FALSE,,Active status
products,isFeatured,boolean,FALSE,FALSE,,Featured product flag
