Table,Field,Type,PK,FK,References,Description
users,id,uuid,TRUE,FALSE,,Primary key
users,email,string,FALSE,FALSE,,User email
users,name,string,FALSE,FALSE,,User name
users,userType,string,FALSE,FALSE,,Type of user
users,accountType,string,FALSE,FALSE,,Account type
users,emailVerified,boolean,FALSE,FALSE,,Email verification status
users,createdAt,timestamp,FALSE,FALSE,,Creation timestamp
users,updatedAt,timestamp,FALSE,FALSE,,Last update timestamp
user_profiles,id,uuid,TRUE,FALSE,,Primary key
user_profiles,userId,uuid,FALSE,TRUE,users.id,Foreign key to users
user_profiles,locationId,uuid,FALSE,TRUE,locations.id,Foreign key to locations
user_profiles,phone,string,FALSE,FALSE,,Phone number
user_profiles,profileImage,string,FALSE,FALSE,,Profile image URL
user_profiles,storefrontImage,string,FALSE,FALSE,,Storefront image URL
user_profiles,specialties,array,FALSE,FALSE,,Array of specialties
user_verification,id,uuid,TRUE,FALSE,,Primary key
user_verification,userId,uuid,FALSE,TRUE,users.id,Foreign key to users
user_verification,verified,boolean,FALSE,FALSE,,Verification status
user_verification,phoneVerified,boolean,FALSE,FALSE,,Phone verification
user_verification,verificationStatus,string,FALSE,FALSE,,Verification status
user_verification,verificationDocuments,json,FALSE,FALSE,,Verification documents
user_verification,rejectedDocuments,json,FALSE,FALSE,,Rejected documents
user_verification,businessDetailsCompleted,boolean,FALSE,FALSE,,Business details completion
business_details,id,uuid,TRUE,FALSE,,Primary key
business_details,userId,uuid,FALSE,TRUE,users.id,Foreign key to users
business_details,businessName,string,FALSE,FALSE,,Business name
business_details,businessDescription,text,FALSE,FALSE,,Business description
business_details,businessLicenseNumber,string,FALSE,FALSE,,License number
business_details,specialties,array,FALSE,FALSE,,Business specialties
business_details,policies,json,FALSE,FALSE,,Business policies
business_details,createdAt,timestamp,FALSE,FALSE,,Creation timestamp
user_social,id,uuid,TRUE,FALSE,,Primary key
user_social,userId,uuid,FALSE,TRUE,users.id,Foreign key to users
user_social,facebook,string,FALSE,FALSE,,Facebook profile
user_social,instagram,string,FALSE,FALSE,,Instagram profile
user_social,telegram,string,FALSE,FALSE,,Telegram profile
user_social,whatsapp,string,FALSE,FALSE,,WhatsApp profile
user_social,website,string,FALSE,FALSE,,Website URL
user_social,createdAt,timestamp,FALSE,FALSE,,Creation timestamp
products,id,uuid,TRUE,FALSE,,Primary key
products,sellerId,uuid,FALSE,TRUE,users.id,Foreign key to users (seller)
products,categoryId,uuid,FALSE,TRUE,categories.id,Foreign key to categories
products,locationId,uuid,FALSE,TRUE,locations.id,Foreign key to locations
products,name,string,FALSE,FALSE,,Product name
products,description,text,FALSE,FALSE,,Product description
products,price,decimal,FALSE,FALSE,,Product price
products,availableStock,integer,FALSE,FALSE,,Available stock
products,deliveryOptions,array,FALSE,FALSE,,Delivery options array
products,paymentTerms,array,FALSE,FALSE,,Payment terms array
products,quantity,integer,FALSE,FALSE,,Product quantity
products,quantityUnit,string,FALSE,FALSE,,Quantity unit
products,packaging,string,FALSE,FALSE,,Packaging type
products,createdAt,timestamp,FALSE,FALSE,,Creation timestamp
products,updatedAt,timestamp,FALSE,FALSE,,Last update timestamp
categories,id,uuid,TRUE,FALSE,,Primary key
categories,name,string,FALSE,FALSE,,Category name
categories,description,text,FALSE,FALSE,,Category description
categories,createdAt,timestamp,FALSE,FALSE,,Creation timestamp
product_images,id,uuid,TRUE,FALSE,,Primary key
product_images,productId,uuid,FALSE,TRUE,products.id,Foreign key to products
product_images,imageData,json,FALSE,FALSE,,Image data
product_images,isPrimary,boolean,FALSE,FALSE,,Primary image flag
product_images,createdAt,timestamp,FALSE,FALSE,,Creation timestamp
saved_products,id,uuid,TRUE,FALSE,,Primary key
saved_products,userId,uuid,FALSE,TRUE,users.id,Foreign key to users
saved_products,productId,uuid,FALSE,TRUE,products.id,Foreign key to products
saved_products,savedDate,timestamp,FALSE,FALSE,,Save date
offers,id,uuid,TRUE,FALSE,,Primary key
offers,productId,uuid,FALSE,TRUE,products.id,Foreign key to products
offers,buyerId,uuid,FALSE,TRUE,users.id,Foreign key to users (buyer)
offers,sellerId,uuid,FALSE,TRUE,users.id,Foreign key to users (seller)
offers,offerPrice,decimal,FALSE,FALSE,,Offer price
offers,quantity,integer,FALSE,FALSE,,Offer quantity
offers,status,string,FALSE,FALSE,,Offer status
offers,conversationId,uuid,FALSE,TRUE,conversations.id,Foreign key to conversations
offers,createdAt,timestamp,FALSE,FALSE,,Creation timestamp
offers,updatedAt,timestamp,FALSE,FALSE,,Last update timestamp
conversations,id,uuid,TRUE,FALSE,,Primary key
conversations,productId,uuid,FALSE,TRUE,products.id,Foreign key to products
conversations,buyerId,uuid,FALSE,TRUE,users.id,Foreign key to users (buyer)
conversations,sellerId,uuid,FALSE,TRUE,users.id,Foreign key to users (seller)
conversations,lastMessage,text,FALSE,FALSE,,Last message content
conversations,unreadCount,integer,FALSE,FALSE,,Unread message count
