Table Name,Column Name,Data Type,Is Nullable,Column Default,Max Length,Description
addresses,id,uuid,No,gen_random_uuid(),,
addresses,userId,uuid,No,,,
addresses,locationId,uuid,Yes,,,
addresses,addressLine1,text,No,,,
addresses,addressLine2,text,Yes,,,
addresses,phoneNumber,text,Yes,,,
addresses,addressType,text,Yes,'home',,
addresses,isDefault,boolean,Yes,false,,
addresses,createdAt,timestamp with time zone,Yes,now(),,
addresses,updatedAt,timestamp with time zone,Yes,now(),,
business_details,id,uuid,No,gen_random_uuid(),,
business_details,userId,uuid,No,,,
business_details,businessName,text,Yes,,,
business_details,businessDescription,text,Yes,,,
business_details,businessHours,text,Yes,,,
business_details,businessLicenseNumber,text,Yes,,,
business_details,specialties,ARRAY,Yes,,,
business_details,policies,jsonb,Yes,,,
business_details,createdAt,timestamp with time zone,Yes,now(),,
business_details,updatedAt,timestamp with time zone,Yes,now(),,
categories,id,uuid,No,gen_random_uuid(),,
categories,name,text,No,,,
conversations,id,uuid,No,gen_random_uuid(),,
conversations,productId,uuid,No,,,
conversations,buyerId,uuid,No,,,
conversations,sellerId,uuid,No,,,
conversations,lastMessage,text,Yes,,,
conversations,lastMessageTime,timestamp with time zone,Yes,,,
conversations,unreadCount,integer(32),Yes,0,,
conversations,isActive,boolean,Yes,true,,
conversations,createdAt,timestamp with time zone,Yes,now(),,
conversations,updatedAt,timestamp with time zone,Yes,now(),,
delivery_options,id,uuid,No,gen_random_uuid(),,
delivery_options,name,text,No,,,
email_management,id,uuid,No,gen_random_uuid(),,
email_management,userId,uuid,No,,,
email_management,pendingEmail,text,Yes,,,
email_management,emailVerificationToken,text,Yes,,,
email_management,emailVerificationExpires,timestamp with time zone,Yes,,,
email_management,passwordResetToken,text,Yes,,,
email_management,passwordResetExpires,timestamp with time zone,Yes,,,
email_management,createdAt,timestamp with time zone,Yes,now(),,
email_management,updatedAt,timestamp with time zone,Yes,now(),,
locations,id,uuid,No,gen_random_uuid(),,
locations,region,text,No,,,
locations,city,text,No,,,
locations,createdAt,timestamp with time zone,Yes,now(),,
locations,updatedAt,timestamp with time zone,Yes,now(),,
messages,id,uuid,No,gen_random_uuid(),,
messages,conversationId,uuid,No,,,
messages,senderId,uuid,No,,,
messages,content,text,No,,,
messages,messageType,text,Yes,'text',,
messages,isRead,boolean,Yes,false,,
messages,createdAt,timestamp with time zone,Yes,now(),,
offer_reviews,id,uuid,No,gen_random_uuid(),,
offer_reviews,offerId,uuid,No,,,
offer_reviews,reviewerId,uuid,No,,,
offer_reviews,revieweeId,uuid,No,,,
offer_reviews,rating,integer(32),No,,,
offer_reviews,comment,text,Yes,,,
offer_reviews,createdAt,timestamp with time zone,Yes,now(),,
offer_reviews,updatedAt,timestamp with time zone,Yes,now(),,
offer_timeline,id,uuid,No,gen_random_uuid(),,
offer_timeline,offerId,uuid,No,,,
offer_timeline,eventType,text,No,,,
offer_timeline,eventDescription,text,No,,,
offer_timeline,eventData,jsonb,Yes,,,
offer_timeline,userId,uuid,Yes,,,
offer_timeline,createdAt,timestamp with time zone,Yes,now(),,
offers,id,uuid,No,gen_random_uuid(),,
offers,productId,uuid,No,,,
offers,buyerId,uuid,No,,,
offers,sellerId,uuid,No,,,
offers,offerPrice,numeric(12,2),No,,,
offers,quantity,integer(32),No,1,,
offers,message,text,Yes,,,
offers,status,text,Yes,'pending',,
offers,statusId,uuid,Yes,,,
offers,expiresAt,timestamp with time zone,Yes,,,
offers,deliveryAddress,jsonb,Yes,,,
offers,deliveryOptions,ARRAY,Yes,,,
offers,deliveryOptionIds,ARRAY,Yes,,,
offers,paymentTerms,ARRAY,Yes,,,
offers,paymentTermIds,ARRAY,Yes,,,
offers,conversationId,uuid,Yes,,,
offers,cancelledBy,uuid,Yes,,,
offers,cancellationReason,text,Yes,,,
offers,createdAt,timestamp with time zone,Yes,now(),,
offers,updatedAt,timestamp with time zone,Yes,now(),,
payment_terms,id,uuid,No,gen_random_uuid(),,
payment_terms,name,text,No,,,
product_images,id,uuid,No,gen_random_uuid(),,
product_images,productId,uuid,No,,,
